Title,Call No,Copy No,Rayon,Branch
Level 5: Pride and Prejudice (2nd Edition) (Penguin Readers: Level 5),LA,17046,B5,1
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,BU,14006,B4,2
Fundamentals of Statistical and Thermal Physics (McGraw-Hill Series in Fundamentals of Physics),PH 254,B1,1,Main
The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail (Management of Innovation and Change),BU,14007,B4,1
Principes de l'économie 4ème ED (Ouvertures économiques) (French Edition),EF,10020,B3,1
Unfinished Business,LA,17080,B5,1
Méthodes numériques et optimisation : Théorie et pratique pour l'ingénieur,MA,6056,B3,1
Level 5: Pride and Prejudice (2nd Edition) (Penguin Readers: Level 5),LA,17046,B5,2
La lecture rapide (Les Guides Buzan) (French Edition),FR,16067,B5,1
Pourquoi la tartine tombe toujours du côté du beurre - La Loi de Murphy expliquée à tous: La Loi de Murphy expliquée à tous (DD.ESSAI TTPUBL),FR,16172,B5,1
A Time to Kill (Penguin Longman Penguin Readers),LA,17005,B5,1
Getting Things Done,DP,19016,B7,1
Boyd: The Fighter Pilot Who Changed the Art of War,LA,17009,B5,1
Econometric Analysis,EF,10002,B3,1
Power Broker,DP,19063,B7,1
hydrodynamique physique 3e edition (SAVOIRS ACTUELS),PH 256,B1,1,Main
Predictably Irrational: The Hidden Forces That Shape Our Decisions,DP,19064,B7,1
Analyse numérique et optimisation: Nouvelle édition (ECOLE POLYTECHNIQUE) (French Edition),MA,6010,B3,1
Éléments de physique statistique (Les cours) (French Edition),PH 1806,B1,2,Main
Gérer les références produits standardiser ou diversifier: la méthode diversité (ED ORGANISATION),GI,12006,B4,2
Gérer les références produits standardiser ou diversifier: la méthode diversité (ED ORGANISATION),GI,12006,B4,3
Gestión de precios (Libros profesionales) (Spanish Edition),MK,15004,B4,1
"Discours de la méthode: pour bien conduire sa raison, et chercher la vérité dans les sciences (Philosophie)",FR,16039,B5,1
